step,reward,seed
0,20.908184051513672,1
50000,358.13287353515625,1
100000,809.12548828125,1
150000,923.1990966796876,1
200000,934.6419067382812,1
250000,959.0460205078124,1
300000,970.57373046875,1
350000,943.5548095703124,1
400000,927.4786987304688,1
450000,965.296875,1
500000,969.064453125,1
550000,961.0320434570312,1
600000,968.3982543945312,1
650000,974.1336669921876,1
700000,953.4699096679688,1
750000,979.2259521484376,1
800000,949.025390625,1
850000,996.0872192382812,1
900000,974.1643676757812,1
950000,974.7623901367188,1
1000000,958.6941528320312,1
1050000,986.23388671875,1
1100000,982.4729614257812,1
1150000,990.9583129882812,1
1200000,929.9661254882812,1
1250000,977.5656127929688,1
1300000,935.2487182617188,1
1350000,955.4052734375,1
1400000,926.1041259765624,1
1450000,963.3577880859376,1
1500000,977.3621826171876,1
1550000,947.5010986328124,1
1600000,983.7394409179688,1
1650000,957.6207885742188,1
1700000,965.3737182617188,1
1750000,965.4889526367188,1
1800000,978.7081909179688,1
1850000,908.8123779296876,1
1900000,986.73681640625,1
1950000,932.38037109375,1
0,32.06645202636719,2
50000,302.4457397460937,2
100000,747.3474731445312,2
150000,845.8274536132812,2
200000,927.3695068359376,2
250000,914.94775390625,2
300000,934.1270751953124,2
350000,863.5408935546875,2
400000,866.1036987304688,2
450000,941.8914794921876,2
500000,889.3463134765625,2
550000,878.3566284179688,2
600000,952.3445434570312,2
650000,958.4354248046876,2
700000,972.4180908203124,2
750000,980.7791748046876,2
800000,957.763671875,2
850000,971.2335205078124,2
900000,958.50341796875,2
950000,971.5142822265624,2
1000000,969.5734252929688,2
1050000,955.1301879882812,2
1100000,971.2863159179688,2
1150000,967.7405395507812,2
1200000,942.6838989257812,2
1250000,919.5286865234376,2
1300000,983.60986328125,2
1350000,938.5950927734376,2
1400000,976.5320434570312,2
1450000,962.056640625,2
1500000,979.7431640625,2
1550000,953.8322143554688,2
1600000,936.39208984375,2
1650000,967.3421630859376,2
1700000,958.2374877929688,2
1750000,982.7567138671876,2
1800000,959.3128662109376,2
1850000,970.9392700195312,2
1900000,955.5264892578124,2
1950000,981.873046875,2
0,24.029560089111328,3
50000,266.1801147460937,3
100000,945.4727783203124,3
150000,877.5382690429688,3
200000,930.4734497070312,3
250000,944.3953857421876,3
300000,959.3980712890624,3
350000,940.4895629882812,3
400000,955.82470703125,3
450000,937.2318115234376,3
500000,931.8123168945312,3
550000,957.3225708007812,3
600000,970.4983520507812,3
650000,970.7986450195312,3
700000,949.4074096679688,3
750000,971.85595703125,3
800000,967.7021484375,3
850000,965.8981323242188,3
900000,940.2999877929688,3
950000,914.3098754882812,3
1000000,959.638671875,3
1050000,970.3519287109376,3
1100000,973.51318359375,3
1150000,981.6427001953124,3
1200000,981.3240966796876,3
1250000,987.5709838867188,3
1300000,984.9456787109376,3
1350000,942.4205932617188,3
1400000,967.4075317382812,3
1450000,961.9362182617188,3
1500000,960.0172119140624,3
1550000,977.8753051757812,3
1600000,964.4542236328124,3
1650000,972.8449096679688,3
1700000,972.5031127929688,3
1750000,963.1541748046876,3
1800000,970.0369873046876,3
1850000,979.3922729492188,3
1900000,964.5228271484376,3
1950000,958.828125,3
2000000,984.9527587890624,3
