step,reward,seed
0,6.708122253417969,1
50000,21.137582778930664,1
100000,244.7474670410156,1
150000,407.8995971679688,1
200000,595.6033935546875,1
250000,789.2359619140625,1
300000,860.0706787109375,1
350000,899.7863159179688,1
400000,820.1693115234375,1
450000,914.5831909179688,1
500000,921.4231567382812,1
550000,904.7058715820312,1
600000,922.0946044921876,1
650000,898.5564575195312,1
700000,914.4114990234376,1
750000,928.5997314453124,1
800000,928.7633666992188,1
850000,928.5831909179688,1
900000,949.0007934570312,1
950000,933.9930419921876,1
1000000,945.9730224609376,1
1050000,890.1119995117188,1
1100000,923.6553955078124,1
1150000,930.0064697265624,1
1200000,940.7496337890624,1
1250000,940.9747924804688,1
1300000,948.8790283203124,1
1350000,940.4267578125,1
1400000,943.5870361328124,1
1450000,950.9439697265624,1
1500000,943.0753784179688,1
1550000,954.1268310546876,1
1600000,933.0064697265624,1
1650000,941.6419067382812,1
1700000,952.658203125,1
1750000,943.6443481445312,1
1800000,958.9390869140624,1
1850000,970.67431640625,1
1900000,956.4208984375,1
1950000,936.5344848632812,1
2000000,926.5379638671876,1
0,6.190918922424316,2
50000,83.60337829589844,2
100000,160.9010009765625,2
150000,345.7267761230469,2
200000,559.1517944335938,2
250000,805.7325439453125,2
300000,876.8748168945312,2
350000,867.7115478515625,2
400000,889.4793090820312,2
450000,890.8834838867188,2
500000,914.0983276367188,2
550000,900.5328369140625,2
600000,928.3533325195312,2
650000,910.8663330078124,2
700000,931.9993896484376,2
750000,924.6901245117188,2
800000,932.4364013671876,2
850000,937.7073364257812,2
900000,936.31884765625,2
950000,918.9742431640624,2
1000000,929.3590087890624,2
1050000,934.9328002929688,2
1100000,939.9822998046876,2
1150000,919.5733642578124,2
1200000,937.2697143554688,2
1250000,936.4860229492188,2
1300000,936.4267578125,2
1350000,934.751953125,2
1400000,949.39111328125,2
1450000,938.2545166015624,2
1500000,947.3734130859376,2
1550000,942.8595581054688,2
1600000,961.4417724609376,2
1650000,955.2682495117188,2
1700000,941.50830078125,2
1750000,952.89892578125,2
1800000,926.0179443359376,2
1850000,941.12060546875,2
1900000,941.1282348632812,2
1950000,950.7291259765624,2
0,7.950880527496338,3
50000,9.518606185913086,3
100000,222.560546875,3
150000,360.9949340820313,3
200000,587.1055297851562,3
250000,792.8917236328125,3
300000,869.52392578125,3
350000,831.5935668945312,3
400000,901.2586059570312,3
450000,911.87646484375,3
500000,910.76953125,3
550000,897.3131713867188,3
600000,910.6201171875,3
650000,912.2069091796876,3
700000,911.5108642578124,3
750000,925.4811401367188,3
800000,927.8576049804688,3
850000,922.5421752929688,3
900000,938.0603637695312,3
950000,949.2030029296876,3
1000000,950.3321533203124,3
1050000,944.5452880859376,3
1100000,921.0368041992188,3
1150000,951.1868896484376,3
1200000,933.6171875,3
1250000,957.14599609375,3
1300000,944.5908203125,3
1350000,925.0703125,3
1400000,915.8737182617188,3
1450000,948.5929565429688,3
1500000,920.95166015625,3
1550000,956.5328369140624,3
1600000,929.7630004882812,3
1650000,942.7066650390624,3
1700000,960.9366455078124,3
1750000,954.3684692382812,3
1800000,958.4578857421876,3
1850000,936.4934692382812,3
1900000,960.4182739257812,3
1950000,951.9880981445312,3
2000000,961.5328369140624,3
