step,reward,seed
0,0.6892426609992981,1
50000,0.8797434568405151,1
100000,0.9710599184036256,1
150000,61.91426849365234,1
200000,138.32395935058594,1
250000,194.728759765625,1
300000,253.0729522705078,1
350000,325.9418029785156,1
400000,411.7024841308594,1
450000,447.228515625,1
500000,436.1110229492188,1
550000,509.4261779785156,1
600000,503.7763671875,1
650000,489.9177856445313,1
700000,539.6558837890625,1
750000,532.4393310546875,1
800000,549.674072265625,1
850000,554.48486328125,1
900000,572.2708129882812,1
950000,576.416259765625,1
1000000,575.8714599609375,1
1050000,588.7000122070312,1
1100000,604.2813720703125,1
1150000,593.9986572265625,1
1200000,606.2164306640625,1
1250000,593.6771240234375,1
1300000,608.518310546875,1
1350000,610.3474731445312,1
1400000,621.6961059570312,1
1450000,621.301513671875,1
1500000,604.1820068359375,1
1550000,635.9483642578125,1
1600000,634.2411499023438,1
1650000,642.4779663085938,1
1700000,625.0137939453125,1
1750000,621.1972045898438,1
1800000,627.826904296875,1
1850000,628.40283203125,1
1900000,635.8966674804688,1
1950000,636.5845947265625,1
2000000,631.5992431640625,1
0,0.8411237597465515,2
50000,0.9035121202468872,2
100000,1.3432496786117554,2
150000,1.018362045288086,2
200000,89.98409271240234,2
250000,132.3340301513672,2
300000,170.99595642089844,2
350000,211.82711791992188,2
400000,258.2782287597656,2
450000,347.5277709960937,2
500000,380.1063537597656,2
550000,409.5946350097656,2
600000,459.0836486816406,2
650000,415.30169677734375,2
700000,483.9676208496094,2
750000,399.2710571289063,2
800000,502.38775634765625,2
850000,513.8193969726562,2
900000,520.4495239257812,2
950000,518.7152709960938,2
1000000,528.1983032226562,2
1050000,543.0398559570312,2
1100000,533.624267578125,2
1150000,579.28857421875,2
1200000,592.7655029296875,2
1250000,601.5767211914062,2
1300000,559.5750732421875,2
1350000,556.6703491210938,2
1400000,597.2744140625,2
1450000,597.1506958007812,2
1500000,624.8218994140625,2
1550000,638.9696044921875,2
1600000,623.1674194335938,2
1650000,635.0462036132812,2
1700000,639.6296997070312,2
1750000,577.8424682617188,2
1800000,634.61328125,2
1850000,630.5896606445312,2
1900000,642.4148559570312,2
1950000,633.1820068359375,2
2000000,651.3336791992188,2
0,0.9975520968437196,3
50000,1.0858765840530396,3
100000,1.2692930698394775,3
150000,102.67243957519533,3
200000,156.7835235595703,3
250000,209.53286743164065,3
300000,279.49566650390625,3
350000,292.447509765625,3
400000,431.57366943359375,3
450000,456.938720703125,3
500000,467.29046630859375,3
550000,483.5739135742188,3
600000,483.489013671875,3
650000,497.2701110839844,3
700000,555.9351196289062,3
750000,566.2371826171875,3
800000,577.3363037109375,3
850000,592.0679931640625,3
900000,601.0040283203125,3
950000,597.413818359375,3
1000000,614.0764770507812,3
1050000,597.1158447265625,3
1100000,634.8248291015625,3
1150000,638.3230590820312,3
1200000,640.534423828125,3
1250000,633.7725219726562,3
1300000,630.1417846679688,3
1350000,658.29833984375,3
1400000,662.4986572265625,3
1450000,648.8598022460938,3
1500000,704.5615234375,3
1550000,706.76611328125,3
1600000,725.7838745117188,3
1650000,725.4091186523438,3
1700000,716.0990600585938,3
1750000,712.6390991210938,3
1800000,722.4098510742188,3
1850000,741.8805541992188,3
1900000,742.8209838867188,3
1950000,718.7399291992188,3
2000000,730.4520263671875,3
