step,reward,seed
0,4.028327941894531,1
50000,5.0957865715026855,1
100000,5.607207298278809,1
150000,11.88437271118164,1
200000,537.1747436523438,1
250000,594.8603515625,1
300000,727.9691162109375,1
350000,913.6095581054688,1
400000,897.1032104492188,1
450000,938.0718994140624,1
500000,907.6063232421876,1
550000,928.3843994140624,1
600000,913.0267333984376,1
650000,932.6856689453124,1
700000,937.1396484375,1
750000,933.7327270507812,1
800000,949.5612182617188,1
850000,961.8656005859376,1
900000,942.2799682617188,1
950000,931.4989013671876,1
1000000,927.732421875,1
1050000,902.64013671875,1
1100000,928.2930908203124,1
1150000,957.3601684570312,1
1200000,945.6978759765624,1
1250000,949.9073486328124,1
1300000,938.0924682617188,1
1350000,917.6654052734376,1
1400000,933.9557495117188,1
1450000,965.013671875,1
1500000,967.7913208007812,1
1550000,962.5740966796876,1
1600000,961.2723388671876,1
1650000,962.4871826171876,1
1700000,964.6012573242188,1
1750000,958.8899536132812,1
1800000,944.9841918945312,1
1850000,967.1995849609376,1
1900000,969.3440551757812,1
1950000,963.1511840820312,1
2000000,968.6849365234376,1
0,5.824739933013916,2
50000,5.750276565551758,2
100000,7.771765232086182,2
150000,295.62811279296875,2
200000,627.66552734375,2
250000,805.9794921875,2
300000,896.81201171875,2
350000,910.3204956054688,2
400000,924.4508056640624,2
450000,910.9529418945312,2
500000,942.3089599609376,2
550000,955.4089965820312,2
600000,927.5037231445312,2
650000,942.5270385742188,2
700000,950.3366088867188,2
750000,937.1439208984376,2
800000,949.8958129882812,2
850000,956.59912109375,2
900000,933.0759887695312,2
950000,944.5013427734376,2
1000000,942.8840942382812,2
1050000,932.28955078125,2
1100000,954.1678466796876,2
1150000,949.1490478515624,2
1200000,954.8538208007812,2
1250000,954.7545166015624,2
1300000,954.2554931640624,2
1350000,943.0899658203124,2
1400000,917.4846801757812,2
1450000,962.1028442382812,2
1500000,956.42626953125,2
1550000,955.7303466796876,2
1600000,952.10302734375,2
1650000,955.3025512695312,2
1700000,958.9246215820312,2
1750000,953.4161987304688,2
1800000,952.9681396484376,2
1850000,952.5021362304688,2
1900000,952.9385986328124,2
1950000,958.2550048828124,2
2000000,947.9851684570312,2
0,4.942822456359863,3
50000,6.250167369842529,3
100000,8.875653266906738,3
150000,5.953105449676514,3
200000,452.5669860839844,3
250000,740.9218139648438,3
300000,832.9742431640625,3
350000,905.572265625,3
400000,920.5042724609376,3
450000,925.0104370117188,3
500000,916.2724609375,3
550000,922.4939575195312,3
600000,926.8536987304688,3
650000,925.4337768554688,3
700000,939.6749267578124,3
750000,940.3855590820312,3
800000,936.4783325195312,3
850000,920.4465942382812,3
900000,952.8473510742188,3
950000,947.5771484375,3
1000000,948.6204223632812,3
1050000,957.16552734375,3
1100000,947.8592529296876,3
1150000,905.6707153320312,3
1200000,916.3600463867188,3
1250000,922.1473388671876,3
1300000,955.1680908203124,3
1350000,952.853515625,3
1400000,952.6663818359376,3
1450000,949.2779541015624,3
1500000,943.79296875,3
1550000,960.3786010742188,3
1600000,955.1482543945312,3
1650000,961.580078125,3
1700000,940.0428466796876,3
1750000,947.7593994140624,3
1800000,965.40380859375,3
1850000,960.93017578125,3
1900000,960.3956298828124,3
1950000,963.3899536132812,3
2000000,966.6903076171876,3
