step,reward,std,ci95
0,6.6,1.9,2.1
100000,62.0,62.7,70.9
200000,307.7,101.5,114.8
300000,493.6,112.7,127.6
400000,472.1,38.4,43.5
500000,446.6,88.9,100.6
600000,494.7,44.7,50.6
700000,502.6,101.0,114.2
800000,572.6,66.2,74.9
900000,545.1,13.8,15.6
1000000,537.5,46.1,52.2
1100000,617.3,96.2,108.8
1200000,557.4,244.6,276.8
1300000,579.5,194.6,220.2
1400000,688.2,46.3,52.4
1500000,654.6,132.5,149.9
1600000,554.8,204.6,231.5
1700000,623.3,104.0,117.7
1800000,620.5,163.9,185.5
1900000,584.6,284.8,322.3
