step,reward,std,ci95
0,9.0,0.8,0.8
100000,171.7,125.9,142.4
200000,454.9,200.4,226.8
300000,564.3,213.7,241.8
400000,534.3,162.8,184.3
500000,529.5,156.0,176.5
600000,548.5,135.4,153.2
700000,594.1,23.3,26.3
800000,660.0,103.1,116.7
900000,639.0,191.0,216.2
1000000,648.3,154.3,174.6
1100000,706.8,111.0,125.6
1200000,635.4,48.0,54.3
1300000,573.6,114.5,129.5
1400000,697.8,36.6,41.4
1500000,779.7,12.3,13.9
1600000,674.2,105.2,119.0
1700000,658.4,52.0,58.8
1800000,780.0,65.8,74.5
1900000,770.3,85.0,96.2
