step,reward,std,ci95
0,25.8,1.4,1.6
100000,524.1,106.2,120.2
200000,699.6,185.6,210.1
300000,773.0,230.3,260.6
400000,781.5,238.2,269.5
500000,791.9,246.7,279.1
600000,795.8,250.2,283.1
700000,866.2,146.2,165.4
800000,864.0,160.2,181.3
900000,925.6,51.4,58.1
1000000,898.5,109.2,123.5
1100000,961.8,19.1,21.6
1200000,923.7,23.0,26.0
1300000,971.5,9.3,10.6
1400000,968.7,7.3,8.3
1500000,986.8,1.8,2.1
1600000,981.2,6.8,7.7
1700000,981.7,11.6,13.1
1800000,983.5,10.7,12.2
1900000,978.3,4.1,4.7
2000000,984.8,3.0,3.4
