step,reward,std,ci95
0,6.7,1.2,1.4
100000,71.8,48.9,55.3
200000,114.5,72.8,82.4
300000,98.4,23.2,26.3
400000,191.9,192.1,217.4
500000,355.3,243.4,275.5
600000,501.7,119.3,135.0
700000,733.7,230.5,260.8
800000,790.9,119.0,134.6
900000,820.3,62.7,71.0
1000000,863.2,46.6,52.7
1100000,863.6,6.0,6.8
1200000,888.1,11.0,12.4
1300000,930.7,16.2,18.4
1400000,933.0,10.2,11.6
1500000,927.6,4.4,5.0
1600000,896.5,7.7,8.7
1700000,921.6,7.3,8.2
1800000,921.6,15.1,17.1
1900000,947.9,4.7,5.3
2000000,926.8,8.2,9.3
