step,reward,std,ci95
0,3.4,0.3,0.3
100000,8.5,0.2,0.3
200000,203.3,198.1,224.1
300000,413.9,111.5,126.2
400000,615.6,112.2,127.0
500000,769.4,61.7,69.9
600000,839.2,31.0,35.1
700000,891.3,9.3,10.5
800000,863.3,35.0,39.7
900000,912.0,13.0,14.8
1000000,909.6,16.8,19.0
1100000,920.2,9.9,11.2
1200000,918.8,13.4,15.2
1300000,899.4,13.1,14.8
1400000,923.7,11.2,12.7
1500000,900.3,42.7,48.4
1600000,933.8,3.7,4.2
1700000,915.7,13.9,15.7
1800000,914.3,6.3,7.1
1900000,935.7,10.5,11.9
2000000,962.1,10.7,12.1
