step,reward,seed
0,9.976600646972656,1
50000,44.23915481567383,1
100000,253.0469970703125,1
150000,468.440673828125,1
200000,561.6205444335938,1
250000,646.48388671875,1
300000,699.806396484375,1
350000,748.9696655273438,1
400000,793.1121826171875,1
450000,800.083984375,1
500000,812.7318725585938,1
550000,840.1971435546875,1
600000,831.0335693359375,1
650000,842.4014892578125,1
700000,856.4404296875,1
750000,870.2445068359375,1
800000,870.0140380859375,1
850000,871.7281494140625,1
900000,873.1443481445312,1
950000,871.7828979492188,1
1000000,890.6739501953125,1
1050000,894.9064331054688,1
1100000,932.4650268554688,1
1150000,947.2511596679688,1
1200000,955.53662109375,1
1250000,965.1775512695312,1
1300000,965.3636474609376,1
1350000,955.8941650390624,1
1400000,961.3899536132812,1
1450000,967.9357299804688,1
1500000,964.0667114257812,1
1550000,976.8512573242188,1
1600000,958.8944091796876,1
1650000,969.8421020507812,1
1700000,971.5716552734376,1
1750000,976.2506103515624,1
1800000,971.7430419921876,1
1850000,982.63720703125,1
1900000,976.5345458984376,1
1950000,975.8306884765624,1
2000000,967.6221923828124,1
0,7.572354316711426,2
50000,43.79044342041016,2
100000,186.35372924804688,2
150000,355.419677734375,2
200000,511.6314392089844,2
250000,775.2175903320312,2
300000,831.5384521484375,2
350000,872.1641845703125,2
400000,868.6270751953125,2
450000,913.6995849609376,2
500000,915.2018432617188,2
550000,903.439453125,2
600000,909.1109619140624,2
650000,908.0076293945312,2
700000,930.4308471679688,2
750000,929.8629760742188,2
800000,934.5994262695312,2
850000,937.8668212890624,2
900000,923.8931884765624,2
950000,926.6448974609376,2
1000000,937.4122314453124,2
1050000,935.0407104492188,2
1100000,945.2489013671876,2
1150000,932.5953979492188,2
1200000,946.4658203125,2
1250000,945.4690551757812,2
1300000,933.0037841796876,2
1350000,943.0672607421876,2
1400000,950.5784301757812,2
1450000,944.9793090820312,2
1500000,949.7190551757812,2
1550000,949.0213012695312,2
1600000,955.7825317382812,2
1650000,953.8933715820312,2
1700000,943.8690185546876,2
1750000,954.6344604492188,2
1800000,948.4334716796876,2
1850000,947.9529418945312,2
1900000,953.1201171875,2
1950000,955.62744140625,2
2000000,950.5333862304688,2
0,6.727247714996338,3
50000,22.447973251342773,3
100000,269.81170654296875,3
150000,480.34814453125,3
200000,684.9239501953125,3
250000,845.8472900390625,3
300000,847.1009521484375,3
350000,877.5142822265625,3
400000,905.3076171875,3
450000,912.6607666015624,3
500000,909.3714599609376,3
550000,902.0267333984376,3
600000,889.0813598632812,3
650000,907.0426025390624,3
700000,927.0094604492188,3
750000,926.4171752929688,3
800000,926.94580078125,3
850000,920.3230590820312,3
900000,923.1502685546876,3
950000,929.18798828125,3
1000000,942.2355346679688,3
