step,reward,seed
0,10.483758926391602,1
50000,66.10392761230469,1
100000,536.3994140625,1
150000,872.5305786132812,1
200000,902.0540161132812,1
250000,912.0778198242188,1
300000,913.2311401367188,1
350000,915.4049682617188,1
400000,916.2008056640624,1
450000,931.7662353515624,1
500000,935.5501098632812,1
550000,940.4718017578124,1
600000,942.572265625,1
650000,937.3323974609376,1
700000,932.490234375,1
750000,961.5631103515624,1
800000,946.8427734375,1
850000,952.5721435546876,1
900000,946.6130981445312,1
950000,953.3980712890624,1
1000000,961.0838623046876,1
1050000,959.2305908203124,1
1100000,959.3040771484376,1
1150000,968.4197387695312,1
1200000,952.5910034179688,1
1250000,961.4366455078124,1
1300000,968.3387451171876,1
1350000,944.4928588867188,1
1400000,965.1334838867188,1
1450000,965.0783081054688,1
1500000,963.7138671875,1
1550000,969.7161865234376,1
1600000,961.5062255859376,1
1650000,961.2111206054688,1
1700000,966.7965087890624,1
1750000,970.7312622070312,1
1800000,965.5050048828124,1
1850000,973.5390625,1
1900000,965.1736450195312,1
1950000,967.8106689453124,1
2000000,962.8734130859376,1
0,7.866231441497803,2
50000,25.85198402404785,2
100000,376.6971435546875,2
150000,637.1781616210938,2
200000,827.0387573242188,2
250000,841.61767578125,2
300000,898.20068359375,2
350000,847.3326416015625,2
400000,946.0441284179688,2
450000,942.6725463867188,2
500000,948.0911254882812,2
550000,935.9967041015624,2
600000,952.0617065429688,2
650000,941.4525146484376,2
700000,958.0682373046876,2
750000,951.5982666015624,2
800000,960.6322021484376,2
850000,960.8785400390624,2
900000,949.8046875,2
950000,956.3408203125,2
1000000,943.0452880859376,2
1050000,949.2838745117188,2
1100000,955.22216796875,2
1150000,946.8538208007812,2
1200000,960.5827026367188,2
1250000,951.3556518554688,2
1300000,951.9188232421876,2
1350000,957.7400512695312,2
1400000,962.54736328125,2
1450000,956.2189331054688,2
1500000,964.9773559570312,2
1550000,958.58544921875,2
1600000,964.1359252929688,2
1650000,966.2845458984376,2
1700000,961.6149291992188,2
1750000,968.1727294921876,2
1800000,958.0134887695312,2
1850000,954.1771240234376,2
1900000,969.3880004882812,2
1950000,958.03564453125,2
2000000,958.4439697265624,2
0,12.931604385375977,3
50000,43.280906677246094,3
100000,166.4637908935547,3
150000,536.7070922851562,3
200000,739.5224609375,3
250000,838.2380981445312,3
300000,857.4822387695312,3
350000,892.0866088867188,3
400000,929.15087890625,3
450000,951.7955322265624,3
500000,946.5662231445312,3
550000,946.4425659179688,3
600000,946.1456909179688,3
650000,947.0842895507812,3
700000,952.0078125,3
750000,959.4456787109376,3
800000,957.9498291015624,3
850000,957.8341674804688,3
900000,961.2435302734376,3
950000,964.87841796875,3
1000000,970.9754028320312,3
1050000,956.9617309570312,3
1100000,958.7131958007812,3
1150000,963.8405151367188,3
1200000,962.8991088867188,3
1250000,961.5867919921876,3
1300000,960.4923706054688,3
1350000,964.9728393554688,3
1400000,968.6331176757812,3
1450000,964.4075317382812,3
1500000,964.7634887695312,3
1550000,965.5524291992188,3
1600000,964.138671875,3
1650000,971.6661376953124,3
1700000,967.0725708007812,3
1750000,962.0853271484376,3
1800000,969.2120361328124,3
1850000,949.1138916015624,3
1900000,966.4000244140624,3
1950000,969.8104248046876,3
2000000,960.3414916992188,3
