step,reward,seed
0,0.6516414284706116,1
50000,0.8617949485778809,1
100000,1.013422608375549,1
150000,4.447115898132324,1
200000,119.0290985107422,1
250000,197.43215942382807,1
300000,216.5801544189453,1
350000,280.4719543457031,1
400000,322.67608642578125,1
450000,354.860595703125,1
500000,402.2232055664063,1
550000,383.5609436035156,1
600000,438.144287109375,1
650000,438.0948791503906,1
700000,486.62347412109375,1
750000,473.6858825683594,1
800000,502.8777770996094,1
850000,494.3993225097656,1
900000,500.0305786132813,1
950000,528.9230346679688,1
1000000,518.8563232421875,1
1050000,539.8182373046875,1
1100000,554.5415649414062,1
1150000,544.464111328125,1
1200000,544.2243041992188,1
1250000,559.9146728515625,1
1300000,556.1321411132812,1
1350000,564.9058837890625,1
1400000,571.041259765625,1
1450000,546.8895874023438,1
1500000,576.7163696289062,1
1550000,561.9249877929688,1
1600000,572.8091430664062,1
1650000,571.7684326171875,1
1700000,578.1893920898438,1
1750000,573.4571533203125,1
1800000,572.5509033203125,1
1850000,574.8112182617188,1
1900000,579.3628540039062,1
1950000,585.1229858398438,1
2000000,569.0267944335938,1
0,0.9268498420715332,2
50000,1.1234123706817627,2
100000,1.469853162765503,2
150000,100.67737579345705,2
200000,148.9221954345703,2
250000,184.748046875,2
300000,217.7122802734375,2
350000,248.46755981445312,2
400000,273.8949890136719,2
450000,290.822021484375,2
500000,329.44354248046875,2
550000,371.9367065429688,2
600000,350.90191650390625,2
650000,416.1822204589844,2
700000,417.4931640625,2
750000,455.750732421875,2
800000,448.2003784179688,2
850000,472.1480407714844,2
900000,445.1867065429688,2
950000,495.4779357910156,2
1000000,493.9556579589844,2
1050000,517.6060791015625,2
1100000,510.9280700683594,2
1150000,510.4400024414063,2
1200000,517.1583251953125,2
1250000,534.9342041015625,2
1300000,534.5565185546875,2
1350000,537.95703125,2
1400000,532.5401611328125,2
1450000,548.3433837890625,2
1500000,558.8660888671875,2
1550000,559.3192749023438,2
1600000,543.9061279296875,2
1650000,562.744140625,2
1700000,568.2418823242188,2
1750000,553.5018310546875,2
1800000,558.7959594726562,2
1850000,576.1969604492188,2
1900000,584.1881713867188,2
1950000,573.2978515625,2
2000000,574.766357421875,2
0,0.8947909474372864,3
50000,0.8940520286560059,3
100000,1.5148322582244873,3
150000,88.77680969238281,3
200000,146.06723022460938,3
250000,197.03184509277344,3
300000,232.82986450195312,3
350000,290.4476928710937,3
400000,314.84136962890625,3
450000,379.4327392578125,3
500000,417.3604431152344,3
550000,434.3788146972656,3
600000,425.6286010742188,3
650000,441.4622192382813,3
700000,456.9299926757813,3
750000,445.986572265625,3
800000,442.98138427734375,3
850000,464.0040893554688,3
900000,452.7083435058594,3
950000,472.0597534179688,3
1000000,478.546142578125,3
1050000,478.63763427734375,3
1100000,483.2391662597656,3
1150000,483.1136779785156,3
1200000,479.3541564941406,3
1250000,478.78131103515625,3
1300000,480.9378051757813,3
1350000,483.1460876464844,3
1400000,486.13861083984375,3
1450000,485.1849060058594,3
1500000,485.6265258789063,3
1550000,495.8990783691406,3
1600000,497.4164123535156,3
1650000,491.655517578125,3
1700000,491.1946411132813,3
1750000,497.9698791503906,3
1800000,500.3721618652344,3
1850000,498.8934631347656,3
1900000,491.425048828125,3
1950000,505.7223205566406,3
2000000,511.728271484375,3
