step,reward,seed
0,5.106252670288086,1
50054,13.014312744140623,1
100185,17.472505569458008,1
150031,42.887454986572266,1
200035,37.297359466552734,1
250190,63.73841094970703,1
300638,73.98365783691406,1
350644,65.97377014160156,1
400721,98.22859191894533,1
450011,190.1664123535156,1
500259,161.8802947998047,1
550820,160.01773071289062,1
600021,133.50933837890625,1
650463,135.16195678710938,1
700276,175.82437133789062,1
750053,163.77883911132812,1
800222,195.3455047607422,1
850865,179.05548095703125,1
900349,164.56680297851562,1
950816,215.7488250732422,1
1000203,135.6005401611328,1
1050408,199.3272399902344,1
1100324,205.0921173095703,1
1150768,207.5643310546875,1
1200831,266.26544189453125,1
1250261,239.5390625,1
1300027,217.92477416992188,1
1350689,116.5262222290039,1
1400758,271.603759765625,1
1450472,269.90484619140625,1
1500460,242.483642578125,1
1550186,258.4463195800781,1
1600953,313.92266845703125,1
1650079,237.3111267089844,1
1700340,289.6529846191406,1
1750098,275.2972717285156,1
1800181,264.25067138671875,1
1850481,226.9574279785156,1
1900154,254.84939575195312,1
0,6.39273738861084,2
50000,9.04045581817627,2
100014,19.710981369018555,2
150375,33.107398986816406,2
200020,46.71738052368164,2
250003,52.86458206176758,2
300174,69.158203125,2
350366,79.44416046142578,2
400052,65.5905990600586,2
450047,75.1639175415039,2
500029,78.27729797363281,2
550053,106.13316345214844,2
600316,150.08705139160156,2
650892,199.05503845214844,2
700526,91.00413513183594,2
750191,245.7983856201172,2
800741,211.5556182861328,2
850062,152.845703125,2
900762,190.90203857421875,2
950504,107.76100158691406,2
1000165,219.6671600341797,2
1050118,189.3729705810547,2
1100482,119.0446319580078,2
1150510,138.40367126464844,2
1200074,280.0151062011719,2
1250727,235.2432403564453,2
1300618,306.0747375488281,2
1350931,300.9276428222656,2
1400191,308.7450256347656,2
1450002,323.50445556640625,2
1500655,276.1561889648437,2
1550976,281.4214782714844,2
1600995,331.1440734863281,2
1650212,280.58990478515625,2
1700103,316.68414306640625,2
1750676,304.9848022460937,2
1800351,311.8468322753906,2
1850600,139.32644653320312,2
1900457,328.9847717285156,2
1950671,363.0797119140625,2
0,4.045520305633545,3
50051,7.187013149261475,3
100129,18.785457611083984,3
150086,22.425012588500977,3
200108,36.08189392089844,3
250188,57.79539108276367,3
300164,68.74354553222656,3
350495,172.18856811523438,3
400105,165.47613525390625,3
450609,128.54635620117188,3
500467,134.43820190429688,3
550708,194.43443298339844,3
600820,206.5830535888672,3
650230,145.16111755371094,3
700226,163.76649475097656,3
750698,249.3752899169922,3
800937,221.7977752685547,3
850746,161.954833984375,3
900075,288.0487365722656,3
950948,279.0914611816406,3
1000961,229.0084991455078,3
1050151,238.12124633789065,3
1100723,278.3331604003906,3
1150229,222.23715209960932,3
1200361,310.607421875,3
1250163,319.04058837890625,3
1300691,277.06512451171875,3
1350977,304.36279296875,3
1400487,286.2676086425781,3
1450514,189.33139038085932,3
1500359,272.68719482421875,3
1550365,299.5306091308594,3
1600979,294.9940490722656,3
1650796,283.056396484375,3
1700608,312.79571533203125,3
1750612,328.6454772949219,3
1800016,291.5556945800781,3
1850883,333.0563049316406,3
1900407,271.5744934082031,3
