step,reward,seed
0,29.71077346801757,1
50047,51.94357299804688,1
100088,90.57994842529295,1
150035,161.00448608398438,1
200695,227.6391143798828,1
250977,248.845703125,1
300202,584.1826782226562,1
350266,346.7013244628906,1
400112,706.9794921875,1
450879,565.037109375,1
500083,604.1466064453125,1
550734,724.0050048828125,1
600288,790.5426025390625,1
650240,659.6754760742188,1
700490,812.4335327148438,1
750339,782.2568969726562,1
800666,764.6721801757812,1
850065,761.3660278320312,1
900253,706.2620239257812,1
950963,803.6365966796875,1
1000802,754.2252197265625,1
1050078,770.8953857421875,1
1100862,828.1268310546875,1
1150670,804.261474609375,1
1200974,787.7236328125,1
1250599,846.0015869140625,1
1300193,828.3057861328125,1
1350721,844.3987426757812,1
1400721,859.5296020507812,1
1450396,826.7918090820312,1
1500474,717.5847778320312,1
1550711,857.28271484375,1
1600027,820.2200927734375,1
1650009,780.382080078125,1
1700610,864.32421875,1
1750659,858.1491088867188,1
1800659,858.0458984375,1
1850659,870.0198974609375,1
1900659,853.95361328125,1
0,33.62015914916992,2
50006,53.549278259277344,2
100118,66.16407775878906,2
150030,118.98667907714844,2
200137,166.98202514648438,2
250077,196.6915283203125,2
300085,209.72781372070312,2
350206,397.3045959472656,2
400695,469.4710998535156,2
450503,485.7268981933594,2
500248,612.43115234375,2
550742,593.5458374023438,2
600632,548.8764038085938,2
650081,453.7332458496094,2
700073,567.9681396484375,2
750436,701.5812377929688,2
800814,692.9949951171875,2
850400,879.3175048828125,2
900392,713.9778442382812,2
950097,933.3875122070312,2
1000397,749.0955200195312,2
1050808,895.7523193359375,2
1100154,834.3079833984375,2
1150908,921.4581298828124,2
1200340,744.2744750976562,2
1250272,897.2186279296875,2
1300519,855.1641845703125,2
1350557,949.2259521484376,2
1400434,933.8787841796876,2
1450686,954.2550659179688,2
1500697,890.1544799804688,2
1550898,945.00830078125,2
1600597,952.1340942382812,2
1650536,877.53564453125,2
1700417,958.2646484375,2
1750858,958.9158325195312,2
1800436,965.4190673828124,2
1850455,951.07666015625,2
1900455,898.9075317382812,2
0,19.78927230834961,3
50028,42.18468475341797,3
100027,67.53077697753906,3
150049,150.18331909179688,3
200067,170.0244140625,3
250416,273.9256591796875,3
300326,560.1798095703125,3
350117,524.1387939453125,3
400389,461.6101684570313,3
450121,365.0357055664063,3
500052,497.8564453125,3
550505,743.3599853515625,3
600200,688.023681640625,3
650030,741.1295776367188,3
700106,640.253662109375,3
750608,861.541015625,3
800998,862.8507080078125,3
850749,832.03271484375,3
900352,931.6043090820312,3
950700,797.2464599609375,3
1000411,950.1556396484376,3
1050776,958.1340942382812,3
1100030,950.3516845703124,3
1150236,940.2906494140624,3
1200018,951.0130004882812,3
1250351,964.8880615234376,3
1300384,964.9534301757812,3
1350592,957.9580078125,3
1400943,968.36083984375,3
1450943,956.5867309570312,3
1500114,960.1676025390624,3
1550550,945.5842895507812,3
1600819,893.2648315429688,3
1650741,957.46484375,3
1700934,964.8817138671876,3
1750333,950.5540771484376,3
1800082,959.6331176757812,3
1850082,898.9041137695312,3
1900867,956.0154418945312,3
