step,reward,seed
0,4.421767234802246,1
50037,9.528295516967772,1
100057,3.3757338523864746,1
150079,29.452184677124023,1
200086,40.21138381958008,1
250064,49.04855728149414,1
300027,102.3504638671875,1
350306,77.04414367675781,1
400075,145.58154296875,1
450260,278.21270751953125,1
500467,90.6519012451172,1
550601,265.45074462890625,1
600601,295.8656616210937,1
650673,567.1025390625,1
700324,565.4075317382812,1
750380,170.4456024169922,1
800447,745.8619995117188,1
850236,690.956298828125,1
900089,820.0367431640625,1
950983,796.9200439453125,1
1000050,682.4146118164062,1
1050815,740.0997924804688,1
1100232,867.7249145507812,1
1150299,861.0812377929688,1
1200453,861.9176025390625,1
1250836,894.5914306640625,1
1300237,834.8839721679688,1
1350521,905.7191162109376,1
1400410,906.59423828125,1
1450113,898.4940185546875,1
1500576,897.1832885742188,1
1550459,910.4423828125,1
1600487,908.1558837890624,1
1650487,909.58203125,1
1700986,908.85986328125,1
1750786,906.5543823242188,1
1800786,909.2682495117188,1
1850694,906.857421875,1
1900827,907.4788208007812,1
0,5.113881587982178,2
50036,4.0024285316467285,2
100018,19.0011043548584,2
150110,26.40401077270508,2
200152,45.21363067626953,2
250143,55.87778472900391,2
300292,70.10975646972656,2
350156,66.84922790527344,2
400319,134.7766876220703,2
450135,127.53963470458984,2
500125,296.3228759765625,2
550056,211.0420379638672,2
600515,291.3685607910156,2
650117,383.2607421875,2
700296,510.499755859375,2
750568,424.00146484375,2
800119,596.4129638671875,2
850886,733.6531982421875,2
900377,526.978515625,2
950090,789.1905517578125,2
1000498,833.5056762695312,2
1050632,837.8518676757812,2
1100519,896.0831909179688,2
1150504,892.74853515625,2
1200977,902.7849731445312,2
1250597,880.9900512695312,2
1300055,779.9768676757812,2
1350092,907.4630126953124,2
1400023,906.3822021484376,2
1450023,909.53466796875,2
1500561,899.3673095703125,2
1550446,909.13427734375,2
1600446,891.0042724609375,2
1650617,910.2625732421876,2
1700682,901.6376953125,2
1750682,908.8277587890624,2
1800679,911.5142822265624,2
1850679,907.6716918945312,2
1900449,781.5210571289062,2
0,3.461207628250122,3
50018,6.920294284820557,3
100038,18.19539260864257,3
150014,34.262603759765625,3
200071,29.53120803833008,3
250960,19.437854766845703,3
300954,88.3395004272461,3
350029,83.33602142333984,3
400215,34.21897888183594,3
450023,172.92007446289062,3
500203,160.17837524414062,3
550232,140.4348907470703,3
600285,312.33612060546875,3
650335,306.1137084960937,3
700275,555.494873046875,3
750112,421.7389221191406,3
800602,618.0621337890625,3
850202,627.9048461914062,3
900377,813.3502197265625,3
950292,852.1387939453125,3
1000578,185.26071166992188,3
1050317,749.7852783203125,3
1100328,779.0293579101562,3
1150408,814.3905639648438,3
1200470,801.6488037109375,3
1250175,887.1461181640625,3
1300313,870.3458251953125,3
1350191,799.7517700195312,3
1400320,832.8507690429688,3
1450390,625.9725341796875,3
1500145,830.5070190429688,3
1550660,827.6238403320312,3
1600783,904.1891479492188,3
1650564,873.1104736328125,3
1700182,727.3768920898438,3
1750279,850.02880859375,3
1800855,899.4343872070312,3
1850651,909.4392700195312,3
1900595,911.7847900390624,3
