step,reward,std,ci95
0,24.4,4.6,5.2
100000,31.1,10.9,12.3
200000,48.4,20.1,22.7
300000,74.4,47.4,53.6
400000,99.1,61.0,69.1
500000,113.1,68.9,78.0
600000,120.6,74.2,84.0
700000,125.8,83.7,94.7
800000,135.0,98.0,110.9
900000,162.2,94.0,106.4
1000000,141.2,81.7,92.5
1100000,149.3,91.1,103.1
1200000,167.5,97.0,109.8
1300000,197.6,102.4,115.8
1400000,140.6,97.8,110.6
1500000,148.6,95.0,107.5
1600000,132.0,103.8,117.4
1700000,135.3,102.5,115.9
1800000,125.8,108.1,122.4
1900000,140.2,98.4,111.4
2000000,131.2,105.1,118.9
