step,reward,std,ci95
0,5.8,0.9,1.0
100000,26.6,13.7,15.5
200000,66.9,38.5,43.6
300000,141.2,6.1,6.9
400000,146.2,11.2,12.6
500000,132.8,6.7,7.6
600000,172.9,29.5,33.4
700000,163.1,13.6,15.4
800000,125.7,75.1,85.0
900000,135.8,77.7,88.0
1000000,169.9,101.0,114.3
1100000,175.3,86.2,97.6
1200000,219.7,98.9,111.9
1300000,221.8,126.0,142.6
1400000,160.5,158.2,179.0
1500000,307.4,55.9,63.2
1600000,333.1,62.8,71.1
1700000,385.8,42.5,48.1
1800000,355.0,85.0,96.2
1900000,417.1,64.2,72.7
2000000,427.0,57.9,65.5
