step,reward,std,ci95
0,25.4,4.3,4.9
100000,146.5,94.4,106.9
200000,525.9,38.6,43.7
300000,734.4,34.5,39.0
400000,673.7,84.1,95.1
500000,700.0,46.2,52.3
600000,691.1,100.2,113.4
700000,704.6,68.3,77.3
800000,754.5,6.3,7.1
900000,726.1,110.0,124.5
1000000,798.9,23.3,26.4
1100000,808.1,25.9,29.3
1200000,860.4,47.7,53.9
1300000,866.4,29.7,33.6
1400000,889.9,65.6,74.2
1500000,844.5,44.3,50.1
1600000,925.2,25.9,29.3
1700000,913.7,24.9,28.1
1800000,936.4,7.6,8.6
1900000,930.1,15.0,17.0
2000000,933.3,24.8,28.0
