step,reward,std,ci95
0,7.3,0.8,0.9
100000,12.2,6.8,7.7
200000,71.0,31.6,35.7
300000,139.0,47.2,53.4
400000,148.1,88.6,100.3
500000,132.2,66.1,74.8
600000,210.7,137.4,155.4
700000,337.6,34.5,39.0
800000,268.4,151.7,171.7
900000,397.0,61.6,69.8
1000000,500.0,13.6,15.4
1100000,577.1,29.8,33.7
1200000,607.5,38.1,43.1
1300000,632.2,50.0,56.6
1400000,664.4,48.2,54.6
1500000,772.3,47.6,53.8
1600000,803.6,65.0,73.6
1700000,848.8,35.9,40.7
1800000,870.6,16.1,18.2
1900000,868.4,14.9,16.9
2000000,884.4,22.2,25.2
