step,reward,std,ci95
0,8.1,1.0,1.1
100000,34.6,12.1,13.7
200000,207.7,71.6,81.1
300000,370.1,40.7,46.0
400000,431.9,19.8,22.4
500000,482.6,50.8,57.5
600000,644.8,57.8,65.4
700000,454.9,291.8,330.2
800000,461.1,305.6,345.8
900000,497.2,270.3,305.9
1000000,493.9,311.4,352.3
1100000,592.8,351.6,397.9
1200000,638.5,180.8,204.6
1300000,633.1,183.4,207.6
1400000,625.1,187.4,212.1
1500000,720.2,139.9,158.3
1600000,658.5,170.8,193.2
1700000,641.7,179.1,202.7
1800000,687.2,156.4,177.0
1900000,873.6,99.8,112.9
2000000,885.0,74.8,84.6
