step,reward,std,ci95
0,5.1,0.8,1.0
100000,5.9,0.4,0.5
200000,36.9,18.4,20.9
300000,160.5,99.0,112.0
400000,401.9,40.9,46.2
500000,422.2,50.6,57.3
600000,475.8,42.6,48.2
700000,542.3,43.8,49.5
800000,576.3,50.6,57.3
900000,572.6,47.4,53.7
1000000,663.7,26.5,30.0
1100000,741.5,46.0,52.1
1200000,770.2,29.3,33.2
1300000,749.0,35.2,39.8
1400000,832.2,40.3,45.6
1500000,838.9,39.2,44.4
1600000,840.4,36.7,41.6
1700000,868.0,18.6,21.0
1800000,886.8,10.3,11.6
1900000,904.4,10.2,11.6
2000000,913.3,14.7,16.7
