step,reward,std,ci95
0,11.5,2.3,2.6
100000,114.7,6.8,7.7
200000,257.9,37.0,41.8
300000,287.3,16.3,18.5
400000,327.4,28.9,32.7
500000,443.1,23.2,26.2
600000,401.0,80.0,90.5
700000,494.9,127.2,144.0
800000,552.7,209.3,236.9
900000,608.7,221.7,250.9
1000000,608.6,297.0,336.1
1100000,670.4,255.2,288.8
1200000,642.8,286.4,324.1
1300000,673.5,254.2,287.7
1400000,646.5,293.2,331.8
1500000,665.3,277.7,314.2
1600000,693.7,249.9,282.8
1700000,685.8,262.8,297.4
1800000,605.1,225.7,255.4
1900000,516.0,187.2,211.8
